(trendCoefficient= '1.727217551589264', state= '', country= 'Morocco', continent= 'Africa'weekYear= '2020-W16,[(4/19/20,170.0), (4/18/20,121.0), (4/17/20,281.0), (4/16/20,259.0), (4/15/20,136.0), (4/14/20,125.0), (4/13/20,102.0)])
(trendCoefficient= '0.34338143835513796', state= '', country= 'Djibouti', continent= 'Africa'weekYear= '2020-W14,[(4/5/20,9.0), (4/4/20,1.0), (4/3/20,9.0), (4/2/20,7.0), (4/1/20,3.0), (3/31/20,12.0), (3/30/20,0.0)])
(trendCoefficient= '12.23716824768841', state= '', country= 'Pakistan', continent= 'Asia'weekYear= '2020-W11,[(3/9/20,0.0), (3/15/20,22.0), (3/14/20,3.0), (3/13/20,8.0), (3/12/20,1.0), (3/11/20,3.0), (3/10/20,10.0)])
(trendCoefficient= '2.0332014566380434', state= '', country= 'Bahrain', continent= 'Asia'weekYear= '2020-W11,[(3/9/20,10.0), (3/15/20,4.0), (3/14/20,15.0), (3/13/20,0.0), (3/12/20,0.0), (3/11/20,85.0), (3/10/20,15.0)])
(trendCoefficient= '1.727217551589264', state= '', country= 'Morocco', continent= 'Africa'weekYear= '2020-W10,[(3/8/20,0.0), (3/7/20,0.0), (3/6/20,0.0), (3/5/20,1.0), (3/4/20,0.0), (3/3/20,0.0), (3/2/20,1.0)])
(trendCoefficient= '1.9679449714516926', state= '', country= 'Nigeria', continent= 'Africa'weekYear= '2020-W16,[(4/19/20,85.0), (4/18/20,49.0), (4/17/20,51.0), (4/16/20,35.0), (4/15/20,34.0), (4/14/20,30.0), (4/13/20,20.0)])
(trendCoefficient= '1.8390504877939127', state= '', country= 'Algeria', continent= 'Africa'weekYear= '2020-W19,[(5/9/20,189.0), (5/8/20,187.0), (5/7/20,185.0), (5/6/20,159.0), (5/5/20,190.0), (5/4/20,174.0), (5/10/20,165.0)])
(trendCoefficient= '4.701771343793553', state= '', country= 'Colombia', continent= 'America'weekYear= '2020-W16,[(4/19/20,353.0), (4/18/20,0.0), (4/17/20,206.0), (4/16/20,128.0), (4/15/20,126.0), (4/14/20,127.0), (4/13/20,76.0)])
(trendCoefficient= '1.833887814893075', state= '', country= 'Ghana', continent= 'Africa'weekYear= '2020-W16,[(4/19/20,208.0), (4/18/20,193.0), (4/17/20,0.0), (4/16/20,5.0), (4/15/20,0.0), (4/14/20,70.0), (4/13/20,0.0)])
(trendCoefficient= '2.0332014566380434', state= '', country= 'Bahrain', continent= 'Asia'weekYear= '2020-W18,[(5/3/20,99.0), (5/2/20,114.0), (5/1/20,130.0), (4/30/20,119.0), (4/29/20,110.0), (4/28/20,88.0), (4/27/20,76.0)])
(trendCoefficient= '1.727217551589264', state= '', country= 'Morocco', continent= 'Africa'weekYear= '2020-W18,[(5/3/20,174.0), (5/2/20,160.0), (5/1/20,146.0), (4/30/20,102.0), (4/29/20,69.0), (4/28/20,132.0), (4/27/20,55.0)])
(trendCoefficient= '28.464468222212233', state= '', country= 'Spain', continent= 'Europa'weekYear= '2020-W16,[(4/19/20,6948.0), (4/18/20,887.0), (4/17/20,5891.0), (4/16/20,7304.0), (4/15/20,5103.0), (4/14/20,2442.0), (4/13/20,3268.0)])
(trendCoefficient= '0.9130962550015735', state= '', country= 'Malaysia', continent= 'Asia'weekYear= '2020-W07,[(2/16/20,0.0), (2/15/20,3.0), (2/14/20,0.0), (2/13/20,1.0), (2/12/20,0.0), (2/11/20,0.0), (2/10/20,2.0)])
(trendCoefficient= '0.3774895472732995', state= '', country= 'Luxembourg', continent= 'Europa'weekYear= '2020-W20,[(5/17/20,15.0), (5/16/20,7.0), (5/15/20,8.0), (5/14/20,11.0), (5/13/20,10.0), (5/12/20,6.0), (5/11/20,2.0)])
(trendCoefficient= '4.701771343793553', state= '', country= 'Colombia', continent= 'America'weekYear= '2020-W06,[(2/9/20,0.0), (2/8/20,0.0), (2/7/20,0.0), (2/6/20,0.0), (2/5/20,0.0), (2/4/20,0.0), (2/3/20,0.0)])
(trendCoefficient= '0.8564417269852688', state= '', country= 'Azerbaijan', continent= 'Asia'weekYear= '2020-W06,[(2/9/20,0.0), (2/8/20,0.0), (2/7/20,0.0), (2/6/20,0.0), (2/5/20,0.0), (2/4/20,0.0), (2/3/20,0.0)])
(trendCoefficient= '1.5416835259032804', state= 'Alberta', country= 'Canada', continent= 'America'weekYear= '2020-W16,[(4/19/20,241.0), (4/18/20,165.0), (4/17/20,401.0), (4/16/20,126.0), (4/15/20,0.0), (4/14/20,138.0), (4/13/20,165.0)])
(trendCoefficient= '0.34520223590942467', state= '', country= 'Guinea-Bissau', continent= 'Africa'weekYear= '2020-W07,[(2/16/20,0.0), (2/15/20,0.0), (2/14/20,0.0), (2/13/20,0.0), (2/12/20,0.0), (2/11/20,0.0), (2/10/20,0.0)])
(trendCoefficient= '0.4442596172578639', state= '', country= 'El Salvador', continent= 'America'weekYear= '2020-W19,[(5/9/20,42.0), (5/8/20,47.0), (5/7/20,62.0), (5/6/20,46.0), (5/5/20,32.0), (5/4/20,65.0), (5/10/20,105.0)])
(trendCoefficient= '0.4593729862578489', state= '', country= 'Somalia', continent= 'Africa'weekYear= '2020-W11,[(3/9/20,0.0), (3/15/20,0.0), (3/14/20,0.0), (3/13/20,0.0), (3/12/20,0.0), (3/11/20,0.0), (3/10/20,0.0)])
(trendCoefficient= '8.019489277525514', state= '', country= 'Singapore', continent= 'Asia'weekYear= '2020-W11,[(3/9/20,0.0), (3/15/20,14.0), (3/14/20,12.0), (3/13/20,22.0), (3/12/20,0.0), (3/11/20,18.0), (3/10/20,10.0)])
(trendCoefficient= '8.154273254507036', state= '', country= 'Ecuador', continent= 'America'weekYear= '2020-W16,[(4/19/20,446.0), (4/18/20,572.0), (4/17/20,225.0), (4/16/20,367.0), (4/15/20,255.0), (4/14/20,74.0), (4/13/20,63.0)])
(trendCoefficient= '1.8162642928861514', state= '', country= 'Denmark', continent= 'Europa'weekYear= '2020-W14,[(4/5/20,292.0), (4/4/20,320.0), (4/3/20,371.0), (4/2/20,279.0), (4/1/20,247.0), (3/31/20,283.0), (3/30/20,182.0)])
(trendCoefficient= '1.5416835259032804', state= 'Alberta', country= 'Canada', continent= 'America'weekYear= '2020-W14,[(4/5/20,106.0), (4/4/20,106.0), (4/3/20,0.0), (4/2/20,215.0), (4/1/20,64.0), (3/31/20,29.0), (3/30/20,40.0)])
(trendCoefficient= '4.29707473512266', state= '', country= 'Poland', continent= 'Europa'weekYear= '2020-W14,[(4/5/20,475.0), (4/4/20,244.0), (4/3/20,437.0), (4/2/20,392.0), (4/1/20,243.0), (3/31/20,256.0), (3/30/20,193.0)])
(trendCoefficient= '78.36809333273389', state= '', country= 'Brazil', continent= 'America'weekYear= '2020-W05,[(2/2/20,0.0), (2/1/20,0.0), (1/31/20,0.0), (1/30/20,0.0), (1/29/20,0.0), (1/28/20,0.0), (1/27/20,0.0)])
(trendCoefficient= '0.4492424583014881', state= '', country= 'Congo (Kinshasa)', continent= 'Africa'weekYear= '2020-W10,[(3/8/20,0.0), (3/7/20,0.0), (3/6/20,0.0), (3/5/20,0.0), (3/4/20,0.0), (3/3/20,0.0), (3/2/20,0.0)])
(trendCoefficient= '8.154273254507036', state= '', country= 'Ecuador', continent= 'America'weekYear= '2020-W07,[(2/16/20,0.0), (2/15/20,0.0), (2/14/20,0.0), (2/13/20,0.0), (2/12/20,0.0), (2/11/20,0.0), (2/10/20,0.0)])
